product_id,product_name,product_url,current_price,original_price,discount_rate,rating,review_count,delivery_badge,is_rocket,crawled_at
3191886200,"나우푸드 아미노 컴플릿 캡슐, 1개",https://www.coupang.com/vp/products/7317250355?itemId=1199540&vendorItemId=3191886200&q=나우푸드&searchId=00ee99373131818&sourceType=search&itemsCount=36&searchRank=533&rank=533,"11,710원","17,270원",32%,4.5,18,조건부 무료배송,True,2025-09-03T11:59:04.446832
3216128182,"나우푸드 캐스터 오일 퓨어, 473ml, 1개",https://www.coupang.com/vp/products/583349?itemId=2055668&vendorItemId=3216128182&q=나우푸드&searchId=00ee99373131818&sourceType=search&itemsCount=36&searchRank=534&rank=534,"10,870원","12,500원",13%,4.5,3768,조건부 무료배송,True,2025-09-03T11:59:04.447104
3086593695,"나우푸드 글루코만난 575mg 캡슐 글루텐 프리, 1개, 상세설명참조",https://www.coupang.com/vp/products/29319?itemId=70373&vendorItemId=3086593695&q=나우푸드&searchId=00ee99373131818&sourceType=search&itemsCount=36&searchRank=535&rank=535,"18,210원","20,940원",13%,4.5,106,조건부 무료배송,True,2025-09-03T11:59:04.447374
3086380672,"Now Foods 스포츠 트리뷸러스 1000mg 타블렛, 1개, One Size",https://www.coupang.com/vp/products/29212?itemId=70190&vendorItemId=3086380672&q=나우푸드&searchId=00ee99373131818&sourceType=search&itemsCount=36&searchRank=536&rank=536,"30,360원","34,900원",13%,4.5,308,무료배송,True,2025-09-03T11:59:04.447647
3143421539,"나우푸드 슬립 베지 캡슐 글루텐 프리 비건, 1개",https://www.coupang.com/vp/products/8222992227?itemId=25981056365&vendorItemId=3143421539&q=나우푸드&searchId=00ee99373131818&sourceType=search&itemsCount=36&searchRank=537&rank=537,"20,450원","24,830원",17%,4.0,206,조건부 무료배송,True,2025-09-03T11:59:04.447914
3531343931,"나우푸드 크레-알카린 크레아틴 캡슐, 240개입, 1개",https://www.coupang.com/vp/products/65092538?itemId=219964882&vendorItemId=3531343931&q=나우푸드&searchId=00ee99373131818&sourceType=search&itemsCount=36&searchRank=538&rank=538,"32,720원","53,990원",39%,5.0,22,무료배송,True,2025-09-03T11:59:04.448184
3265968717,"나우푸드 에센셜 방향아로마오일, 30ml, 1개",https://www.coupang.com/vp/products/5426786937?itemId=8792829&vendorItemId=3265968717&q=나우푸드&searchId=00ee99373131818&sourceType=search&itemsCount=36&searchRank=539&rank=539,"10,020원","11,520원",13%,4.5,60,조건부 무료배송,True,2025-09-03T11:59:04.448457
92075676123,"나우푸드 E-스포츠 리액션 초콜릿 밀크쉐이크 맛 분말, 1개, 454g",https://www.coupang.com/vp/products/8639624958?itemId=25071594372&vendorItemId=92075676123&q=나우푸드&searchId=b7b3e49e120170&sourceType=search&itemsCount=36&searchRank=540&rank=540,"49,520원","56,930원",13%,,,무료배송,True,2025-09-03T11:59:31.810748
3191885785,"나우푸드 더블 스트랭스 DHA-500 소프트젤, 1개, 90정",https://www.coupang.com/vp/products/8136129940?itemId=1199567&vendorItemId=3191885785&q=나우푸드&searchId=b7b3e49e120170&sourceType=search&itemsCount=36&searchRank=541&rank=541,"20,950원","29,150원",28%,4.5,173,조건부 무료배송,True,2025-09-03T11:59:31.811034
3216126061,"나우푸드 츄어블 CoQ10 200mg 로젠지 비건, 90개입, 1개, 90정",https://www.coupang.com/vp/products/587387?itemId=2073408&vendorItemId=3216126061&q=나우푸드&searchId=b7b3e49e120170&sourceType=search&itemsCount=36&searchRank=542&rank=542,"33,150원","58,310원",43%,4.5,26,무료배송,True,2025-09-03T11:59:31.811307
